1100	-3.65554369716983e-10	3.02001627530061e-10	-1.45408191032992e-10	24.6
1100.1	-1.15691401713474e-10	5.70447518667893e-10	-1.29748847383285e-10	12.4
1100.2	-7.76934994449369e-11	6.10714402338568e-10	-1.2303770010484e-10	11.65
1100.3	-6.53580290993738e-11	6.21899647802644e-10	-1.29748847383285e-10	11.55
1100.4	-6.09475103024517e-11	6.26373745988275e-10	-1.29748847383285e-10	10.05
1100.5	-7.28020271925342e-11	6.10714402338568e-10	-1.45408191032992e-10	12.2
1100.6	-7.62131085128027e-11	6.10714402338568e-10	-1.29748847383285e-10	10.65
1100.7	-6.65743458560542e-11	6.21899647802644e-10	-1.2303770010484e-10	11.05
1100.8	-5.09289867649839e-11	6.33084893266721e-10	-1.45408191032992e-10	11.85
1100.9	-6.27991471988429e-11	6.21899647802644e-10	-1.40934092847362e-10	12.85
1101	-7.60928127591006e-11	6.10714402338568e-10	-1.29748847383285e-10	11.65
1101.1	-6.17352526742994e-11	6.21899647802644e-10	-1.45408191032992e-10	12.2
1101.2	-6.27089253835664e-11	6.21899647802644e-10	-1.40934092847362e-10	12.2
1101.3	-6.2678851445141e-11	6.21899647802644e-10	-1.40934092847362e-10	11.15
1101.4	-5.82845599832205e-11	6.26373745988275e-10	-1.40934092847362e-10	10.45
1101.5	-7.35224683654795e-11	6.10714402338568e-10	-1.40934092847362e-10	11.9
1101.6	-6.63036804102249e-11	6.21899647802644e-10	-1.2303770010484e-10	11.65
1101.7	-6.18839894355825e-11	6.26373745988275e-10	-1.2303770010484e-10	10.05
1101.8	-5.71673299317039e-11	6.26373745988275e-10	-1.45408191032992e-10	11.65
1101.9	-7.99396195897992e-11	6.04003255060122e-10	-1.40934092847362e-10	10.75
1102	-6.146458722847e-11	6.21899647802644e-10	-1.45408191032992e-10	12.05
1102.1	-6.24382599377371e-11	6.21899647802644e-10	-1.40934092847362e-10	12.55
1102.2	-7.72125261234685e-11	6.04003255060122e-10	-1.52119338311438e-10	12.2
1102.3	-5.70169602395764e-11	6.26373745988275e-10	-1.45408191032992e-10	12.7
1102.4	-7.56717776211439e-11	6.10714402338568e-10	-1.29748847383285e-10	11.15
1102.5	-6.68861336949712e-11	6.21899647802644e-10	-1.18563601919209e-10	11.25
1102.6	-5.97228480558302e-11	6.21899647802644e-10	-1.52119338311438e-10	12.7
